,CIS Control,CIS Sub-Control,Asset Type,Security Function,Title,Description,IG1,IG2,IG3,Relationship,Control Identifier,Control or Control Enhancement Name,Control Text,Moderate Baseline
,1,,,,Inventory and Control of Enterprise Assets,,,,,,,,,
,,,,,"Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.",,,,,,,,,
,1,1.1,Devices,Identify,Establish and Maintain Detailed Enterprise Asset Inventory,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",x,x,x,Subset,CM-8,System Component Inventory,"a. Develop and document an inventory of system components that:
1. Accurately reflects the system
2. Includes all components within the system",
,1,1.1,Devices,Identify,Establish and Maintain Detailed Enterprise Asset Inventory,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",x,x,x,Superset,CM-8(1),System Component Inventory | Updates During Installation and Removal,"Update the inventory of system components as part of component installations, removals, and system updates.",x
,1,1.1,Devices,Identify,Establish and Maintain Detailed Enterprise Asset Inventory,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",x,x,x,Subset,PM-5,System Inventory,Develop and update [Assignment: organization-defined frequency] an inventory of organizational systems.,N/A - Deployed organiation-wide
,1,1.2,Devices,Respond,Address Unauthorized Assets,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.",x,x,x,Subset,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
(b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].",x
,1,1.3,Devices,Detect,Utilize an Active Discovery Tool,"Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently.",,x,x,Subset,SI-4,System Monitoring,"a. Monitor the system to detect:
2. Unauthorized local, network, and remote connections;
b. Identify unauthorized use of the system through the following techniques and methods: [Assignment: organization-defined techniques and methods];",
,1,1.4,Devices,Identify,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently.",,x,x,Subset,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
(b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].",x
,1,1.5,Devices,Detect,Use a Passive Asset Discovery Tool,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.",,,x,Subset,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
(b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].",x
,1,1.5,Devices,Detect,Use a Passive Asset Discovery Tool,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.",,,x,Subset,SI-4,System Monitoring,"a. Monitor the system to detect:
2. Unauthorized local, network, and remote connections;
b. Identify unauthorized use of the system through the following techniques and methods: [Assignment: organization-defined techniques and methods];",
,2,,,,Inventory and Control of Software Assets,,,,,,,,,
,,,,,"Actively manage (inventory, track, and correct) all software (operating systems and applications) on the network so that only authorized software is installed and can execute, and that unauthorized and unmanaged software is found and prevented from installation or execution.",,,,,,,,,
,2,2.1,Software,Identify,Establish and Maintain a Software Inventory,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",x,x,x,Subset,CM-8,System Component Inventory,"a. Develop and document an inventory of system components that:
1. Accurately reflects the system;
2. Includes all components within the system;",
,2,2.1,Software,Identify,Establish and Maintain a Software Inventory,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",x,x,x,Subset,CM-7(1),Least Functionality | Periodic Review,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and
(b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",x
